Longitude,Latitude,Signal_Strength
23.7488948,90.3892205,30
23.7488948,90.3897167,5
23.7488948,90.3902129,28
23.7488948,90.3907091,10
23.7488948,90.3912053,9
23.7488948,90.3917015,16
23.7488948,90.3921977,6
23.7488948,90.3926939,3
23.7488948,90.3931901,14
23.7488948,90.3936864,22
23.7488948,90.3941826,18
23.7488948,90.3946788,28
23.7488948,90.395175,20
23.7488948,90.3956712,2
23.7488948,90.3961674,21
23.7488948,90.3966636,30
23.7488948,90.3971598,25
23.7488948,90.397656,1
23.7488948,90.3981523,19
23.7488948,90.3986485,4
23.7488948,90.3991447,8
23.7488948,90.3996409,19
23.7488948,90.4001371,28
23.7488948,90.4006333,15
23.7488948,90.4011295,1
23.7488948,90.4016257,28
23.7488948,90.4021219,5
23.7488948,90.4026182,12
23.7488948,90.4031144,19
23.7488948,90.4036106,6
23.7488948,90.4041068,7
23.7485407,90.369372,24
23.7485407,90.3698682,4
23.7485407,90.3703644,6
23.7485407,90.3708606,25
23.7485407,90.3713568,17
23.7485407,90.3718531,0
23.7485407,90.3723493,1
23.7485407,90.3728455,16
23.7485407,90.3733417,8
23.7485407,90.3738379,28
23.7485407,90.3743341,15
23.7485407,90.3748303,6
23.7485407,90.3753265,5
23.7485407,90.3758227,11
23.7485407,90.376319,28
23.7485407,90.3768152,1
23.7485407,90.3773114,18
23.7485407,90.3778076,9
23.7485407,90.3783038,5
23.7485407,90.3788,25
23.7485407,90.3792962,7
23.7485407,90.3797924,15
23.7485407,90.3802886,30
23.7485407,90.3807849,5
23.7485407,90.3812811,14
23.7485407,90.3817773,9
23.7485407,90.3822735,8
23.7485407,90.3827697,17
23.7485407,90.3832659,14
23.7485407,90.3837621,0
23.7485407,90.3842583,21
23.7485407,90.3847545,15
23.7485407,90.3852508,12
23.7485407,90.385747,28
23.7485407,90.3862432,24
23.7485407,90.3867394,23
23.7485407,90.3872356,14
23.7485407,90.3877318,5
23.7485407,90.388228,11
23.7485407,90.3887242,17
23.7485407,90.3892205,27
23.7485407,90.3897167,24
23.7485407,90.3902129,0
23.7485407,90.3907091,4
23.7485407,90.3912053,13
23.7485407,90.3917015,14
23.7485407,90.3921977,26
23.7485407,90.3926939,4
23.7485407,90.3931901,22
23.7485407,90.3936864,15
23.7485407,90.3941826,24
23.7485407,90.3946788,16
23.7485407,90.395175,16
23.7485407,90.3956712,25
23.7485407,90.3961674,25
23.7485407,90.3966636,20
23.7485407,90.3971598,7
23.7485407,90.397656,5
23.7485407,90.3981523,2
23.7485407,90.3986485,2
23.7485407,90.3991447,11
23.7485407,90.3996409,19
23.7485407,90.4001371,29
23.7485407,90.4006333,17
23.7485407,90.4011295,22
23.7485407,90.4016257,19
23.7485407,90.4021219,29
23.7485407,90.4026182,16
23.7485407,90.4031144,13
23.7485407,90.4036106,18
23.7485407,90.4041068,29
23.7481865,90.369372,12
23.7481865,90.3698682,7
23.7481865,90.3703644,11
23.7481865,90.3708606,3
23.7481865,90.3713568,26
23.7481865,90.3718531,14
23.7481865,90.3723493,24
23.7481865,90.3728455,15
23.7481865,90.3733417,24
23.7481865,90.3738379,22
23.7481865,90.3743341,7
23.7481865,90.3748303,29
23.7481865,90.3753265,7
23.7481865,90.3758227,16
23.7481865,90.376319,18
23.7481865,90.3768152,2
23.7481865,90.3773114,11
23.7481865,90.3778076,13
23.7481865,90.3783038,2
23.7481865,90.3788,14
23.7481865,90.3792962,0
23.7481865,90.3797924,16
23.7481865,90.3802886,8
23.7481865,90.3807849,16
23.7481865,90.3812811,14
23.7481865,90.3817773,17
23.7481865,90.3822735,27
23.7481865,90.3827697,23
23.7481865,90.3832659,2
23.7481865,90.3837621,16
23.7481865,90.3842583,22
23.7481865,90.3847545,7
23.7481865,90.3852508,27
23.7481865,90.385747,8
23.7481865,90.3862432,20
23.7481865,90.3867394,8
23.7481865,90.3872356,28
23.7481865,90.3877318,13
23.7481865,90.388228,27
23.7481865,90.3887242,29
23.7481865,90.3892205,27
23.7481865,90.3897167,29
23.7481865,90.3902129,14
23.7481865,90.3907091,30
23.7481865,90.3912053,4
23.7481865,90.3917015,6
23.7481865,90.3921977,24
23.7481865,90.3926939,26
23.7481865,90.3931901,5
23.7481865,90.3936864,17
23.7481865,90.3941826,20
23.7481865,90.3946788,30
23.7481865,90.395175,13
23.7481865,90.3956712,16
23.7481865,90.3961674,25
23.7481865,90.3966636,8
23.7481865,90.3971598,19
23.7481865,90.397656,10
23.7481865,90.3981523,4
23.7481865,90.3986485,20
23.7481865,90.3991447,18
23.7481865,90.3996409,0
23.7481865,90.4001371,18
23.7481865,90.4006333,5
23.7481865,90.4011295,18
23.7481865,90.4016257,0
23.7481865,90.4021219,29
23.7481865,90.4026182,15
23.7481865,90.4031144,8
23.7481865,90.4036106,22
23.7481865,90.4041068,25
23.7478324,90.369372,7
23.7478324,90.3698682,18
23.7478324,90.3703644,27
23.7478324,90.3708606,18
23.7478324,90.3713568,29
23.7478324,90.3718531,30
23.7478324,90.3723493,20
23.7478324,90.3728455,5
23.7478324,90.3733417,25
23.7478324,90.3738379,27
23.7478324,90.3743341,10
23.7478324,90.3748303,16
23.7478324,90.3753265,7
23.7478324,90.3758227,27
23.7478324,90.376319,16
23.7478324,90.3768152,11
23.7478324,90.3773114,6
23.7478324,90.3778076,4
23.7478324,90.3783038,28
23.7478324,90.3788,19
23.7478324,90.3792962,29
23.7478324,90.3797924,26
23.7478324,90.3802886,4
23.7478324,90.3807849,23
23.7478324,90.3812811,17
23.7478324,90.3817773,2
23.7478324,90.3822735,6
23.7478324,90.3827697,14
23.7478324,90.3832659,8
23.7478324,90.3837621,17
23.7478324,90.3842583,9
23.7478324,90.3847545,27
23.7478324,90.3852508,18
23.7478324,90.385747,28
23.7478324,90.3862432,17
23.7478324,90.3867394,18
23.7478324,90.3872356,25
23.7478324,90.3877318,14
23.7478324,90.388228,20
23.7478324,90.3887242,29
23.7478324,90.3892205,17
23.7478324,90.3897167,13
23.7478324,90.3902129,17
23.7478324,90.3907091,2
23.7478324,90.3912053,20
23.7478324,90.3917015,13
23.7478324,90.3921977,9
23.7478324,90.3926939,18
23.7478324,90.3931901,14
23.7478324,90.3936864,13
23.7478324,90.3941826,28
23.7478324,90.3946788,24
23.7478324,90.395175,4
23.7478324,90.3956712,10
23.7478324,90.3961674,27
23.7478324,90.3966636,5
23.7478324,90.3971598,28
23.7478324,90.397656,8
23.7478324,90.3981523,15
23.7478324,90.3986485,23
23.7478324,90.3991447,27
23.7478324,90.3996409,1
23.7478324,90.4001371,30
23.7478324,90.4006333,6
23.7478324,90.4011295,12
23.7478324,90.4016257,29
23.7478324,90.4021219,20
23.7478324,90.4026182,7
23.7478324,90.4031144,0
23.7478324,90.4036106,11
23.7478324,90.4041068,3
23.7474782,90.369372,23
23.7474782,90.3698682,26
23.7474782,90.3703644,29
23.7474782,90.3708606,10
23.7474782,90.3713568,1
23.7474782,90.3718531,20
23.7474782,90.3723493,7
23.7474782,90.3728455,8
23.7474782,90.3733417,14
23.7474782,90.3738379,17
23.7474782,90.3743341,29
23.7474782,90.3748303,13
23.7474782,90.3753265,23
23.7474782,90.3758227,7
23.7474782,90.376319,17
23.7474782,90.3768152,23
23.7474782,90.3773114,1
23.7474782,90.3778076,16
23.7474782,90.3783038,29
23.7474782,90.3788,9
23.7474782,90.3792962,23
23.7474782,90.3797924,16
23.7474782,90.3802886,20
23.7474782,90.3807849,26
23.7474782,90.3812811,20
23.7474782,90.3817773,22
23.7474782,90.3822735,14
23.7474782,90.3827697,12
23.7474782,90.3832659,5
23.7474782,90.3837621,15
23.7474782,90.3842583,29
23.7474782,90.3847545,22
23.7474782,90.3852508,23
23.7474782,90.385747,1
23.7474782,90.3862432,26
23.7474782,90.3867394,27
23.7474782,90.3872356,4
23.7474782,90.3877318,6
23.7474782,90.388228,5
23.7474782,90.3887242,20
23.7474782,90.3892205,24
23.7474782,90.3897167,25
23.7474782,90.3902129,25
23.7474782,90.3907091,22
23.7474782,90.3912053,26
23.7474782,90.3917015,16
23.7474782,90.3921977,22
23.7474782,90.3926939,23
23.7474782,90.3931901,2
23.7474782,90.3936864,19
23.7474782,90.3941826,29
23.7474782,90.3946788,30
23.7474782,90.395175,7
23.7474782,90.3956712,24
23.7474782,90.3961674,9
23.7474782,90.3966636,19
23.7474782,90.3971598,26
23.7474782,90.397656,3
23.7474782,90.3981523,14
23.7474782,90.3986485,6
23.7474782,90.3991447,1
23.7474782,90.3996409,2
23.7474782,90.4001371,2
23.7474782,90.4006333,6
23.7474782,90.4011295,23
23.7474782,90.4016257,7
23.7474782,90.4021219,30
23.7474782,90.4026182,28
23.7474782,90.4031144,22
23.7474782,90.4036106,24
23.7474782,90.4041068,15
23.7471241,90.369372,10
23.7471241,90.3698682,24
23.7471241,90.3703644,13
23.7471241,90.3708606,8
23.7471241,90.3713568,16
23.7471241,90.3718531,10
23.7471241,90.3723493,12
23.7471241,90.3728455,20
23.7471241,90.3733417,12
23.7471241,90.3738379,6
23.7471241,90.3743341,28
23.7471241,90.3748303,2
23.7471241,90.3753265,5
23.7471241,90.3758227,16
23.7471241,90.376319,28
23.7471241,90.3768152,19
23.7471241,90.3773114,26
23.7471241,90.3778076,28
23.7471241,90.3783038,4
23.7471241,90.3788,17
23.7471241,90.3792962,13
23.7471241,90.3797924,26
23.7471241,90.3802886,16
23.7471241,90.3807849,22
23.7471241,90.3812811,10
23.7471241,90.3817773,16
23.7471241,90.3822735,11
23.7471241,90.3827697,12
23.7471241,90.3832659,14
23.7471241,90.3837621,20
23.7471241,90.3842583,12
23.7471241,90.3847545,27
23.7471241,90.3852508,1
23.7471241,90.385747,16
23.7471241,90.3862432,10
23.7471241,90.3867394,23
23.7471241,90.3872356,17
23.7471241,90.3877318,10
23.7471241,90.388228,5
23.7471241,90.3887242,5
23.7471241,90.3892205,16
23.7471241,90.3897167,30
23.7471241,90.3902129,24
23.7471241,90.3907091,30
23.7471241,90.3912053,3
23.7471241,90.3917015,4
23.7471241,90.3921977,27
23.7471241,90.3926939,5
23.7471241,90.3931901,10
23.7471241,90.3936864,25
23.7471241,90.3941826,12
23.7471241,90.3946788,28
23.7471241,90.395175,16
23.7471241,90.3956712,18
23.7471241,90.3961674,30
23.7471241,90.3966636,11
23.7471241,90.3971598,14
23.7471241,90.397656,8
23.7471241,90.3981523,18
23.7471241,90.3986485,1
23.7471241,90.3991447,14
23.7471241,90.3996409,5
23.7471241,90.4001371,4
23.7471241,90.4006333,12
23.7471241,90.4011295,13
23.7471241,90.4016257,4
23.7471241,90.4021219,28
23.7471241,90.4026182,5
23.7471241,90.4031144,23
23.7471241,90.4036106,26
23.7471241,90.4041068,24
23.7467699,90.369372,15
23.7467699,90.3698682,5
23.7467699,90.3703644,18
23.7467699,90.3708606,3
23.7467699,90.3713568,29
23.7467699,90.3718531,15
23.7467699,90.3723493,12
23.7467699,90.3728455,22
23.7467699,90.3733417,20
23.7467699,90.3738379,27
23.7467699,90.3743341,25
23.7467699,90.3748303,5
23.7467699,90.3753265,15
23.7467699,90.3758227,5
23.7467699,90.376319,21
23.7467699,90.3768152,16
23.7467699,90.3773114,1
23.7467699,90.3778076,18
23.7467699,90.3783038,8
23.7467699,90.3788,17
23.7467699,90.3792962,1
23.7467699,90.3797924,6
23.7467699,90.3802886,15
23.7467699,90.3807849,16
23.7467699,90.3812811,28
23.7467699,90.3817773,20
23.7467699,90.3822735,7
23.7467699,90.3827697,24
23.7467699,90.3832659,18
23.7467699,90.3837621,4
23.7467699,90.3842583,1
23.7467699,90.3847545,25
23.7467699,90.3852508,2
23.7467699,90.385747,27
23.7467699,90.3862432,29
23.7467699,90.3867394,15
23.7467699,90.3872356,18
23.7467699,90.3877318,25
23.7467699,90.388228,0
23.7467699,90.3887242,15
23.7467699,90.3892205,5
23.7467699,90.3897167,23
23.7467699,90.3902129,5
23.7467699,90.3907091,7
23.7467699,90.3912053,20
23.7467699,90.3917015,12
23.7467699,90.3921977,30
23.7467699,90.3926939,22
23.7467699,90.3931901,20
23.7467699,90.3936864,5
23.7467699,90.3941826,16
23.7467699,90.3946788,20
23.7467699,90.395175,12
23.7467699,90.3956712,15
23.7467699,90.3961674,13
23.7467699,90.3966636,8
23.7467699,90.3971598,13
23.7467699,90.397656,19
23.7467699,90.3981523,13
23.7467699,90.3986485,1
23.7467699,90.3991447,2
23.7467699,90.3996409,8
23.7467699,90.4001371,15
23.7467699,90.4006333,27
23.7467699,90.4011295,2
23.7467699,90.4016257,26
23.7467699,90.4021219,12
23.7467699,90.4026182,14
23.7467699,90.4031144,6
23.7467699,90.4036106,5
23.7467699,90.4041068,4
23.7464158,90.369372,17
23.7464158,90.3698682,8
23.7464158,90.3703644,25
23.7464158,90.3708606,3
23.7464158,90.3713568,18
23.7464158,90.3718531,27
23.7464158,90.3723493,15
23.7464158,90.3728455,11
23.7464158,90.3733417,27
23.7464158,90.3738379,28
23.7464158,90.3743341,25
23.7464158,90.3748303,8
23.7464158,90.3753265,11
23.7464158,90.3758227,20
23.7464158,90.376319,28
23.7464158,90.3768152,28
23.7464158,90.3773114,2
23.7464158,90.3778076,11
23.7464158,90.3783038,26
23.7464158,90.3788,7
23.7464158,90.3792962,29
23.7464158,90.3797924,30
23.7464158,90.3802886,27
23.7464158,90.3807849,23
23.7464158,90.3812811,4
23.7464158,90.3817773,5
23.7464158,90.3822735,26
23.7464158,90.3827697,9
23.7464158,90.3832659,10
23.7464158,90.3837621,14
23.7464158,90.3842583,24
23.7464158,90.3847545,9
23.7464158,90.3852508,4
23.7464158,90.385747,12
23.7464158,90.3862432,21
23.7464158,90.3867394,0
23.7464158,90.3872356,13
23.7464158,90.3877318,29
23.7464158,90.388228,12
23.7464158,90.3887242,5
23.7464158,90.3892205,13
23.7464158,90.3897167,17
23.7464158,90.3902129,15
23.7464158,90.3907091,23
23.7464158,90.3912053,4
23.7464158,90.3917015,10
23.7464158,90.3921977,23
23.7464158,90.3926939,17
23.7464158,90.3931901,20
23.7464158,90.3936864,30
23.7464158,90.3941826,6
23.7464158,90.3946788,2
23.7464158,90.395175,29
23.7464158,90.3956712,2
23.7464158,90.3961674,8
23.7464158,90.3966636,8
23.7464158,90.3971598,19
23.7464158,90.397656,16
23.7464158,90.3981523,16
23.7464158,90.3986485,21
23.7464158,90.3991447,16
23.7464158,90.3996409,8
23.7464158,90.4001371,4
23.7464158,90.4006333,14
23.7464158,90.4011295,6
23.7464158,90.4016257,4
23.7464158,90.4021219,14
23.7464158,90.4026182,9
23.7464158,90.4031144,7
23.7464158,90.4036106,21
23.7464158,90.4041068,16
23.7460616,90.369372,14
23.7460616,90.3698682,29
23.7460616,90.3703644,25
23.7460616,90.3708606,29
23.7460616,90.3713568,28
23.7460616,90.3718531,15
23.7460616,90.3723493,21
23.7460616,90.3728455,14
23.7460616,90.3733417,3
23.7460616,90.3738379,18
23.7460616,90.3743341,21
23.7460616,90.3748303,6
23.7460616,90.3753265,5
23.7460616,90.3758227,21
23.7460616,90.376319,13
23.7460616,90.3768152,28
23.7460616,90.3773114,6
23.7460616,90.3778076,25
23.7460616,90.3783038,11
23.7460616,90.3788,22
23.7460616,90.3792962,6
23.7460616,90.3797924,30
23.7460616,90.3802886,22
23.7460616,90.3807849,13
23.7460616,90.3812811,0
23.7460616,90.3817773,25
23.7460616,90.3822735,17
23.7460616,90.3827697,7
23.7460616,90.3832659,1
23.7460616,90.3837621,19
23.7460616,90.3842583,19
23.7460616,90.3847545,20
23.7460616,90.3852508,19
23.7460616,90.385747,4
23.7460616,90.3862432,1
23.7460616,90.3867394,7
23.7460616,90.3872356,24
23.7460616,90.3877318,16
23.7460616,90.388228,24
23.7460616,90.3887242,6
23.7460616,90.3892205,0
23.7460616,90.3897167,10
23.7460616,90.3902129,21
23.7460616,90.3907091,15
23.7460616,90.3912053,12
23.7460616,90.3917015,30
23.7460616,90.3921977,29
23.7460616,90.3926939,1
23.7460616,90.3931901,6
23.7460616,90.3936864,11
23.7460616,90.3941826,30
23.7460616,90.3946788,30
23.7460616,90.395175,5
23.7460616,90.3956712,22
23.7460616,90.3961674,21
23.7460616,90.3966636,29
23.7460616,90.3971598,8
23.7460616,90.397656,22
23.7460616,90.3981523,4
23.7460616,90.3986485,13
23.7460616,90.3991447,19
23.7460616,90.3996409,12
23.7460616,90.4001371,12
23.7460616,90.4006333,2
23.7460616,90.4011295,10
23.7460616,90.4016257,17
23.7460616,90.4021219,23
23.7460616,90.4026182,15
23.7460616,90.4031144,28
23.7460616,90.4036106,24
23.7460616,90.4041068,28
23.7457075,90.369372,5
23.7457075,90.3698682,27
23.7457075,90.3703644,5
23.7457075,90.3708606,4
23.7457075,90.3713568,7
23.7457075,90.3718531,27
23.7457075,90.3723493,11
23.7457075,90.3728455,24
23.7457075,90.3733417,16
23.7457075,90.3738379,24
23.7457075,90.3743341,5
23.7457075,90.3748303,18
23.7457075,90.3753265,0
23.7457075,90.3758227,12
23.7457075,90.376319,21
23.7457075,90.3768152,5
23.7457075,90.3773114,10
23.7457075,90.3778076,9
23.7457075,90.3783038,18
23.7457075,90.3788,26
23.7457075,90.3792962,12
23.7457075,90.3797924,25
23.7457075,90.3802886,29
23.7457075,90.3807849,1
23.7457075,90.3812811,6
23.7457075,90.3817773,21
23.7457075,90.3822735,6
23.7457075,90.3827697,17
23.7457075,90.3832659,5
23.7457075,90.3837621,6
23.7457075,90.3842583,20
23.7457075,90.3847545,21
23.7457075,90.3852508,3
23.7457075,90.385747,7
23.7457075,90.3862432,23
23.7457075,90.3867394,23
23.7457075,90.3872356,6
23.7457075,90.3877318,8
23.7457075,90.388228,7
23.7457075,90.3887242,20
23.7457075,90.3892205,20
23.7457075,90.3897167,15
23.7457075,90.3902129,17
23.7457075,90.3907091,10
23.7457075,90.3912053,4
23.7457075,90.3917015,27
23.7457075,90.3921977,15
23.7457075,90.3926939,6
23.7457075,90.3931901,20
23.7457075,90.3936864,23
23.7457075,90.3941826,30
23.7457075,90.3946788,3
23.7457075,90.395175,23
23.7457075,90.3956712,14
23.7457075,90.3961674,10
23.7457075,90.3966636,16
23.7457075,90.3971598,7
23.7457075,90.397656,3
23.7457075,90.3981523,3
23.7457075,90.3986485,14
23.7457075,90.3991447,27
23.7457075,90.3996409,5
23.7457075,90.4001371,21
23.7457075,90.4006333,21
23.7457075,90.4011295,21
23.7457075,90.4016257,28
23.7457075,90.4021219,24
23.7457075,90.4026182,24
23.7457075,90.4031144,20
23.7457075,90.4036106,28
23.7457075,90.4041068,1
23.7453533,90.369372,0
23.7453533,90.3698682,4
23.7453533,90.3703644,26
23.7453533,90.3708606,10
23.7453533,90.3713568,14
23.7453533,90.3718531,2
23.7453533,90.3723493,7
23.7453533,90.3728455,3
23.7453533,90.3733417,4
23.7453533,90.3738379,21
23.7453533,90.3743341,8
23.7453533,90.3748303,9
23.7453533,90.3753265,23
23.7453533,90.3758227,14
23.7453533,90.376319,7
23.7453533,90.3768152,20
23.7453533,90.3773114,10
23.7453533,90.3778076,15
23.7453533,90.3783038,22
23.7453533,90.3788,9
23.7453533,90.3792962,5
23.7453533,90.3797924,13
23.7453533,90.3802886,22
23.7453533,90.3807849,17
23.7453533,90.3812811,26
23.7453533,90.3817773,17
23.7453533,90.3822735,15
23.7453533,90.3827697,26
23.7453533,90.3832659,3
23.7453533,90.3837621,9
23.7453533,90.3842583,25
23.7453533,90.3847545,11
23.7453533,90.3852508,3
23.7453533,90.385747,19
23.7453533,90.3862432,17
23.7453533,90.3867394,22
23.7453533,90.3872356,7
23.7453533,90.3877318,27
23.7453533,90.388228,18
23.7453533,90.3887242,20
23.7453533,90.3892205,20
23.7453533,90.3897167,15
23.7453533,90.3902129,18
23.7453533,90.3907091,3
23.7453533,90.3912053,14
23.7453533,90.3917015,27
23.7453533,90.3921977,8
23.7453533,90.3926939,17
23.7453533,90.3931901,13
23.7453533,90.3936864,8
23.7453533,90.3941826,21
23.7453533,90.3946788,28
23.7453533,90.395175,11
23.7453533,90.3956712,1
23.7453533,90.3961674,4
23.7453533,90.3966636,11
23.7453533,90.3971598,1
23.7453533,90.397656,0
23.7453533,90.3981523,9
23.7453533,90.3986485,23
23.7453533,90.3991447,15
23.7453533,90.3996409,22
23.7453533,90.4001371,21
23.7453533,90.4006333,19
23.7453533,90.4011295,13
23.7453533,90.4016257,20
23.7453533,90.4021219,24
23.7453533,90.4026182,5
23.7453533,90.4031144,15
23.7453533,90.4036106,24
23.7453533,90.4041068,13
23.7449991,90.369372,23
23.7449991,90.3698682,20
23.7449991,90.3703644,8
23.7449991,90.3708606,23
23.7449991,90.3713568,27
23.7449991,90.3718531,24
23.7449991,90.3723493,30
23.7449991,90.3728455,25
23.7449991,90.3733417,23
23.7449991,90.3738379,3
23.7449991,90.3743341,23
23.7449991,90.3748303,28
23.7449991,90.3753265,8
23.7449991,90.3758227,12
23.7449991,90.376319,26
23.7449991,90.3768152,23
23.7449991,90.3773114,27
23.7449991,90.3778076,10
23.7449991,90.3783038,10
23.7449991,90.3788,5
23.7449991,90.3792962,18
23.7449991,90.3797924,19
23.7449991,90.3802886,2
23.7449991,90.3807849,22
23.7449991,90.3812811,11
23.7449991,90.3817773,26
23.7449991,90.3822735,11
23.7449991,90.3827697,4
23.7449991,90.3832659,4
23.7449991,90.3837621,12
23.7449991,90.3842583,18
23.7449991,90.3847545,11
23.7449991,90.3852508,0
23.7449991,90.385747,23
23.7449991,90.3862432,18
23.7449991,90.3867394,10
23.7449991,90.3872356,19
23.7449991,90.3877318,1
23.7449991,90.388228,22
23.7449991,90.3887242,7
23.7449991,90.3892205,5
23.7449991,90.3897167,6
23.7449991,90.3902129,4
23.7449991,90.3907091,9
23.7449991,90.3912053,11
23.7449991,90.3917015,9
23.7449991,90.3921977,12
23.7449991,90.3926939,30
23.7449991,90.3931901,30
23.7449991,90.3936864,7
23.7449991,90.3941826,14
23.7449991,90.3946788,30
23.7449991,90.395175,11
23.7449991,90.3956712,17
23.7449991,90.3961674,22
23.7449991,90.3966636,11
23.7449991,90.3971598,27
23.7449991,90.397656,17
23.7449991,90.3981523,4
23.7449991,90.3986485,22
23.7449991,90.3991447,4
23.7449991,90.3996409,4
23.7449991,90.4001371,15
23.7449991,90.4006333,23
23.7449991,90.4011295,5
23.7449991,90.4016257,5
23.7449991,90.4021219,5
23.7449991,90.4026182,11
23.7449991,90.4031144,1
23.7449991,90.4036106,16
23.7449991,90.4041068,0
23.744645,90.369372,2
23.744645,90.3698682,23
23.744645,90.3703644,10
23.744645,90.3708606,26
23.744645,90.3713568,10
23.744645,90.3718531,17
23.744645,90.3723493,15
23.744645,90.3728455,8
23.744645,90.3733417,19
23.744645,90.3738379,23
23.744645,90.3743341,21
23.744645,90.3748303,29
23.744645,90.3753265,10
23.744645,90.3758227,24
23.744645,90.376319,0
23.744645,90.3768152,16
23.744645,90.3773114,9
23.744645,90.3778076,18
23.744645,90.3783038,4
23.744645,90.3788,17
23.744645,90.3792962,7
23.744645,90.3797924,17
23.744645,90.3802886,4
23.744645,90.3807849,0
23.744645,90.3812811,10
23.744645,90.3817773,18
23.744645,90.3822735,22
23.744645,90.3827697,21
23.744645,90.3832659,7
23.744645,90.3837621,8
23.744645,90.3842583,21
23.744645,90.3847545,2
23.744645,90.3852508,28
23.744645,90.385747,29
23.744645,90.3862432,4
23.744645,90.3867394,1
23.744645,90.3872356,18
23.744645,90.3877318,10
23.744645,90.388228,9
23.744645,90.3887242,20
23.744645,90.3892205,9
23.744645,90.3897167,24
23.744645,90.3902129,15
23.744645,90.3907091,9
23.744645,90.3912053,24
23.744645,90.3917015,10
23.744645,90.3921977,30
23.744645,90.3926939,5
23.744645,90.3931901,22
23.744645,90.3936864,26
23.744645,90.3941826,28
23.744645,90.3946788,16
23.744645,90.395175,29
23.744645,90.3956712,14
23.744645,90.3961674,13
23.744645,90.3966636,5
23.744645,90.3971598,19
23.744645,90.397656,23
23.744645,90.3981523,27
23.744645,90.3986485,17
23.744645,90.3991447,0
23.744645,90.3996409,23
23.744645,90.4001371,2
23.744645,90.4006333,25
23.744645,90.4011295,9
23.744645,90.4016257,6
23.744645,90.4021219,29
23.744645,90.4026182,0
23.744645,90.4031144,4
23.744645,90.4036106,1
23.744645,90.4041068,23
23.7442908,90.369372,9
23.7442908,90.3698682,23
23.7442908,90.3703644,27
23.7442908,90.3708606,0
23.7442908,90.3713568,13
23.7442908,90.3718531,25
23.7442908,90.3723493,23
23.7442908,90.3728455,0
23.7442908,90.3733417,10
23.7442908,90.3738379,23
23.7442908,90.3743341,27
23.7442908,90.3748303,27
23.7442908,90.3753265,28
23.7442908,90.3758227,6
23.7442908,90.376319,19
23.7442908,90.3768152,16
23.7442908,90.3773114,7
23.7442908,90.3778076,5
23.7442908,90.3783038,16
23.7442908,90.3788,24
